<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20141007,000000,258.5300000,261.4600000,255.7300000,259.5700000,3962372
20141008,000000,260.1000000,262.8800000,252.6400000,259.2800000,2601962
20141009,000000,262.2500000,265.5400000,256.3400000,257.0100000,3313569
20141010,000000,244.6400000,245.8900000,235.2000000,236.9100000,6629265
20141013,000000,238.5700000,238.9628000,221.0000000,224.6000000,6328026
20141014,000000,228.2500000,231.9100000,223.0000000,227.0600000,3684328
20141015,000000,220.0000000,230.1000000,217.3200000,229.7000000,3195935
20141016,000000,219.7200000,229.9200000,219.1000000,226.3490000,2765634
20141017,000000,233.3800000,234.0000000,226.5500000,227.4800000,2592552
20141020,000000,226.7200000,232.4000000,225.5100000,230.4700000,2858621
20141021,000000,234.2700000,234.7500000,230.8000000,231.7800000,1628101
20141022,000000,233.1900000,237.3900000,232.0000000,233.3450000,1906628
20141023,000000,234.6550000,235.5000000,232.0000000,234.7180000,1261591
