<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20061009,000000,1555.9700000,1587.6400000,1551.7800000,1587.5900000,0
20061010,000000,1587.7300000,1597.0000000,1581.8700000,1584.2500000,0
20061011,000000,1584.1700000,1585.5500000,1568.0500000,1585.5500000,0
20061012,000000,1581.6700000,1581.6700000,1575.0000000,1581.6300000,0
20061013,000000,1581.7800000,1612.5000000,1581.7800000,1610.4400000,0
20061016,000000,1610.9000000,1622.3600000,1605.7200000,1612.0100000,0
20061017,000000,1615.1900000,1628.6400000,1609.4700000,1609.4700000,0
20061018,000000,1609.3900000,1626.4000000,1607.4100000,1626.4000000,0
20061019,000000,1625.0300000,1638.7000000,1621.9100000,1638.7000000,0
20061020,000000,1640.3900000,1647.9200000,1630.0800000,1630.4700000,0
20061023,000000,1630.5600000,1634.3800000,1610.6400000,1618.2600000,0
20061024,000000,1618.5900000,1620.4000000,1599.2600000,1608.8400000,0
20061025,000000,1609.3800000,1630.8300000,1607.9600000,1630.4600000,0
20061026,000000,1636.8100000,1648.2300000,1635.0400000,1636.0300000,0
20061027,000000,1636.0500000,1636.0500000,1619.6000000,1627.2400000,0
20061030,000000,1626.1800000,1626.1800000,1590.3300000,1590.3300000,0
20061031,000000,1590.2200000,1614.2700000,1589.8200000,1613.5700000,0
20061101,000000,1613.9700000,1649.0800000,1613.9700000,1644.8600000,0
20061102,000000,1645.5100000,1645.5100000,1628.2300000,1629.3400000,0
20061103,000000,1629.3400000,1641.5000000,1628.7600000,1641.4800000,0
20061107,000000,1643.6500000,1676.5600000,1643.6500000,1675.0300000,0
20061108,000000,1675.2200000,1675.2200000,1662.3800000,1663.1900000,0
20061109,000000,1663.6200000,1695.9800000,1663.6200000,1693.4100000,0
20061110,000000,1693.4000000,1707.6100000,1686.6600000,1706.7300000,0
20061113,000000,1706.6700000,1717.6300000,1704.2800000,1705.1100000,0
20061114,000000,1704.5800000,1706.8000000,1694.8700000,1699.6600000,0
20061115,000000,1699.3200000,1706.9900000,1697.6600000,1705.8400000,0
20061116,000000,1705.8700000,1714.4400000,1693.0500000,1713.4600000,0
20061117,000000,1713.1900000,1713.1900000,1680.7900000,1688.9700000,0
20061120,000000,1689.0500000,1691.6100000,1675.9900000,1677.0000000,0
20061121,000000,1677.1700000,1699.9500000,1676.4400000,1699.3100000,0
20061122,000000,1699.7400000,1710.4000000,1699.7400000,1703.1300000,0
20061123,000000,1703.4700000,1713.2900000,1703.4700000,1712.9500000,0
20061124,000000,1712.8200000,1723.3800000,1712.0200000,1722.7300000,0
20061127,000000,1723.4200000,1737.2200000,1723.4200000,1727.3300000,0
20061128,000000,1727.4500000,1730.6200000,1721.1000000,1728.9800000,0
20061129,000000,1744.3700000,1765.3100000,1743.9700000,1765.2000000,0
20061130,000000,1766.3400000,1782.5000000,1766.3400000,1776.6800000,0
20061201,000000,1776.6800000,1794.4300000,1764.3200000,1780.5100000,0
20061204,000000,1778.9400000,1793.4800000,1778.9400000,1791.3600000,0
20061205,000000,1791.9800000,1824.6000000,1791.9800000,1821.3300000,0
20061206,000000,1821.3300000,1837.0600000,1821.3300000,1836.8700000,0
20061207,000000,1836.6300000,1850.7800000,1835.0000000,1848.7600000,0
20061208,000000,1848.6100000,1854.3100000,1837.0200000,1850.6900000,0
20061211,000000,1850.6100000,1860.1400000,1832.8500000,1838.6100000,0
20061212,000000,1838.7200000,1851.1700000,1838.7200000,1841.9400000,0
20061213,000000,1841.3000000,1841.3000000,1810.1800000,1829.6100000,0
20061214,000000,1830.6200000,1842.0700000,1830.6200000,1840.1300000,0
20061215,000000,1842.4500000,1856.9900000,1842.4500000,1853.2400000,0
20061218,000000,1853.5000000,1863.5000000,1850.2700000,1861.9100000,0
20061219,000000,1861.5500000,1861.5500000,1830.2500000,1837.8700000,0
20061220,000000,1842.1500000,1866.3600000,1842.1500000,1866.3300000,0
20061221,000000,1866.3300000,1866.6800000,1853.8400000,1864.4600000,0
20061222,000000,1866.3300000,1870.8200000,1862.3200000,1862.4000000,0
20061225,000000,1861.4900000,1861.4900000,1851.2600000,1851.9600000,0
20061226,000000,1852.7000000,1852.9700000,1849.3900000,1852.3900000,0
20061227,000000,1852.3900000,1871.1800000,1851.2900000,1871.1800000,0
20061228,000000,1871.3100000,1910.2800000,1871.3100000,1910.2800000,0
20061229,000000,1911.0000000,1927.7400000,1911.0000000,1921.9200000,0
20070109,000000,1857.9400000,1860.4800000,1796.6200000,1798.6300000,0
20070110,000000,1798.0900000,1798.0900000,1749.2200000,1770.6700000,0
20070111,000000,1770.6700000,1808.2300000,1769.3100000,1800.6100000,0
20070112,000000,1799.4400000,1805.5500000,1793.5100000,1797.5900000,0
20070115,000000,1798.4500000,1850.2100000,1798.4500000,1850.2100000,0
20070116,000000,1848.9800000,1879.8600000,1847.3500000,1851.6300000,0
20070117,000000,1849.8800000,1857.9400000,1808.0600000,1810.6300000,0
20070118,000000,1814.0300000,1837.8100000,1807.2800000,1807.2800000,0
20070119,000000,1804.0400000,1815.4900000,1803.0600000,1812.9300000,0
20070122,000000,1819.9300000,1845.4500000,1819.9300000,1841.9700000,0
20070123,000000,1840.9100000,1859.2300000,1840.9100000,1856.4000000,0
20070124,000000,1857.6500000,1879.5000000,1857.6500000,1861.4600000,0
20070125,000000,1862.5000000,1886.7600000,1862.5000000,1880.4500000,0
20070126,000000,1880.1900000,1880.1900000,1862.8400000,1863.2800000,0
20070129,000000,1865.0200000,1871.9000000,1836.5900000,1836.7700000,0
20070130,000000,1836.7000000,1836.7000000,1800.5900000,1824.7700000,0
20070131,000000,1833.0000000,1851.5100000,1833.0000000,1842.9300000,0
20070201,000000,1843.8900000,1894.3400000,1843.8900000,1894.2500000,0
20070202,000000,1894.5200000,1904.6700000,1885.7600000,1896.6200000,0
20070205,000000,1896.6200000,1905.5000000,1895.9000000,1905.4400000,0
20070206,000000,1906.0100000,1927.0600000,1905.0600000,1923.2700000,0
20070207,000000,1924.2300000,1926.6100000,1913.2300000,1917.8200000,0
20070208,000000,1917.1300000,1917.1300000,1878.8600000,1879.3700000,0
20070209,000000,1884.5600000,1899.0700000,1881.7800000,1885.9300000,0
20070212,000000,1885.4700000,1885.4700000,1838.6200000,1838.6200000,0
20070213,000000,1838.4000000,1866.9800000,1827.0500000,1866.9800000,0
20070214,000000,1867.8400000,1889.9600000,1867.8400000,1889.9600000,0
20070215,000000,1890.0400000,1905.3000000,1890.0400000,1894.9200000,0
20070216,000000,1895.2100000,1898.6400000,1882.0900000,1897.0700000,0
20070219,000000,1899.9100000,1916.7600000,1899.9100000,1904.8400000,0
20070220,000000,1905.0400000,1905.5100000,1893.6400000,1893.6400000,0
20070221,000000,1893.8500000,1909.1500000,1893.2000000,1905.4600000,0
20070222,000000,1905.9900000,1934.9900000,1905.9900000,1934.2600000,0
20070226,000000,1936.8200000,1971.3500000,1936.8200000,1970.7700000,0
20070227,000000,1968.9900000,1968.9900000,1901.2700000,1906.0800000,0
20070228,000000,1905.0600000,1905.0600000,1836.1500000,1858.1400000,0
20070301,000000,1857.8200000,1877.5500000,1772.9200000,1797.1000000,0
20070302,000000,1798.6600000,1813.5500000,1784.0000000,1795.8900000,0
20070305,000000,1795.7400000,1795.7400000,1701.8000000,1737.7100000,0
20070306,000000,1738.6300000,1766.6100000,1738.6300000,1763.6600000,0
20070307,000000,1764.1000000,1773.1700000,1757.8500000,1767.1000000,0
20070309,000000,1772.8300000,1818.2800000,1772.8300000,1808.6500000,0
20070312,000000,1810.5500000,1829.7700000,1806.2700000,1811.9100000,0
20070313,000000,1812.2100000,1827.9600000,1807.4900000,1817.1500000,0
20070314,000000,1808.7600000,1808.7600000,1750.0600000,1779.1000000,0
20070315,000000,1780.1100000,1810.7200000,1780.1100000,1809.1600000,0
20070316,000000,1809.3100000,1821.5800000,1808.8700000,1821.3400000,0
20070319,000000,1825.8000000,1846.3800000,1825.8000000,1846.3800000,0
20070320,000000,1847.1100000,1852.5900000,1830.7700000,1831.2200000,0
20070321,000000,1831.2400000,1848.5900000,1831.2400000,1847.2600000,0
20070322,000000,1851.5600000,1892.5500000,1851.5600000,1889.6200000,0
