<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20061115,000000,172000.0000000,172075.0000000,170145.0000000,171100.0000000,45619
20061116,000000,171750.0000000,173000.0000000,170700.0000000,172515.0000000,45338
20061117,000000,170000.0000000,170700.0000000,167900.0000000,169910.0000000,49373
20061120,000000,169710.0000000,170250.0000000,167810.0000000,168525.0000000,48849
20061121,000000,169995.0000000,171300.0000000,169400.0000000,170950.0000000,38511
20061122,000000,171800.0000000,172185.0000000,169600.0000000,169600.0000000,38536
20061123,000000,170400.0000000,172225.0000000,170000.0000000,171865.0000000,33483
20061124,000000,172500.0000000,173495.0000000,170995.0000000,173135.0000000,34968
20061127,000000,173695.0000000,174660.0000000,172900.0000000,173005.0000000,31026
20061128,000000,172785.0000000,174180.0000000,172055.0000000,174080.0000000,39999
20061129,000000,174750.0000000,178200.0000000,174750.0000000,178020.0000000,30175
20061130,000000,179005.0000000,179500.0000000,177815.0000000,178600.0000000,32315
20061201,000000,178800.0000000,180775.0000000,178450.0000000,178505.0000000,33360
20061204,000000,179995.0000000,180800.0000000,178930.0000000,179600.0000000,32248
20061205,000000,180100.0000000,182995.0000000,180100.0000000,182200.0000000,33154
20061206,000000,182510.0000000,184850.0000000,182265.0000000,183000.0000000,25125
20061207,000000,183505.0000000,186000.0000000,183395.0000000,184205.0000000,25487
20061208,000000,184800.0000000,186100.0000000,183235.0000000,185040.0000000,22536
20061211,000000,184550.0000000,186390.0000000,182700.0000000,184605.0000000,24077
20061212,000000,184680.0000000,185495.0000000,183600.0000000,183995.0000000,21479
20061213,000000,183425.0000000,184290.0000000,180565.0000000,183190.0000000,31096
20061214,000000,183505.0000000,186470.0000000,183000.0000000,186300.0000000,14825
20061215,000000,187000.0000000,188550.0000000,186810.0000000,187950.0000000,25794
20061218,000000,188145.0000000,188750.0000000,187450.0000000,187565.0000000,19251
20061219,000000,187175.0000000,187300.0000000,181300.0000000,184000.0000000,37529
20061220,000000,188275.0000000,188995.0000000,185100.0000000,188050.0000000,35738
20061221,000000,188155.0000000,188155.0000000,185550.0000000,187545.0000000,25282
20061222,000000,187300.0000000,187955.0000000,186090.0000000,186565.0000000,18274
20061225,000000,186105.0000000,186605.0000000,185020.0000000,185480.0000000,12231
20061226,000000,185705.0000000,186450.0000000,185200.0000000,185415.0000000,18283
20061227,000000,185200.0000000,187875.0000000,184500.0000000,187780.0000000,13165
20061228,000000,188305.0000000,192940.0000000,188020.0000000,192295.0000000,18697
20061229,000000,193395.0000000,194500.0000000,193000.0000000,194210.0000000,7076
20070109,000000,190105.0000000,190105.0000000,176505.0000000,177400.0000000,37810
20070110,000000,178300.0000000,178300.0000000,172010.0000000,178250.0000000,43203
20070111,000000,177500.0000000,181645.0000000,176000.0000000,181105.0000000,40362
20070112,000000,180000.0000000,182000.0000000,178005.0000000,180295.0000000,38819
20070115,000000,182000.0000000,187080.0000000,182000.0000000,186495.0000000,50279
20070116,000000,186300.0000000,188620.0000000,183700.0000000,188500.0000000,55603
20070117,000000,184000.0000000,186100.0000000,180000.0000000,181495.0000000,50468
20070118,000000,183100.0000000,184900.0000000,179500.0000000,180000.0000000,60535
20070119,000000,179605.0000000,182150.0000000,178605.0000000,181340.0000000,64071
20070122,000000,183850.0000000,185935.0000000,182255.0000000,184700.0000000,54227
20070123,000000,183700.0000000,186610.0000000,182700.0000000,186500.0000000,55285
20070124,000000,189750.0000000,189750.0000000,184290.0000000,185350.0000000,51524
20070125,000000,186005.0000000,189490.0000000,186000.0000000,188440.0000000,47127
20070126,000000,186800.0000000,187850.0000000,185790.0000000,186485.0000000,29820
20070129,000000,187895.0000000,188500.0000000,182650.0000000,182695.0000000,36816
20070130,000000,181000.0000000,183300.0000000,178810.0000000,183200.0000000,53498
20070131,000000,185000.0000000,185900.0000000,182600.0000000,184895.0000000,50477
20070201,000000,187000.0000000,190305.0000000,186055.0000000,189740.0000000,60346
20070202,000000,189985.0000000,191035.0000000,188100.0000000,189950.0000000,61655
20070205,000000,190510.0000000,191850.0000000,188810.0000000,190400.0000000,53603
20070206,000000,190000.0000000,193750.0000000,189900.0000000,192860.0000000,52304
20070207,000000,193000.0000000,194195.0000000,190400.0000000,191400.0000000,41079
20070208,000000,190005.0000000,190875.0000000,187050.0000000,187780.0000000,43305
20070209,000000,189950.0000000,191100.0000000,187550.0000000,188845.0000000,42527
20070212,000000,186105.0000000,187900.0000000,182350.0000000,182500.0000000,43932
20070213,000000,181990.0000000,187985.0000000,180000.0000000,187450.0000000,57859
20070214,000000,188900.0000000,190500.0000000,188210.0000000,190005.0000000,47378
20070215,000000,190055.0000000,191895.0000000,188900.0000000,189300.0000000,39053
20070216,000000,190005.0000000,190985.0000000,187600.0000000,190450.0000000,44891
20070219,000000,191000.0000000,193250.0000000,189900.0000000,190100.0000000,37998
20070220,000000,190000.0000000,191300.0000000,187805.0000000,187905.0000000,42633
20070221,000000,188900.0000000,190950.0000000,188100.0000000,190460.0000000,41692
20070222,000000,191520.0000000,194250.0000000,191020.0000000,194150.0000000,43180
20070226,000000,196100.0000000,198225.0000000,195280.0000000,197950.0000000,53471
20070227,000000,196900.0000000,196900.0000000,188765.0000000,189500.0000000,87542
20070228,000000,186000.0000000,187000.0000000,181500.0000000,186300.0000000,104799
20070301,000000,185500.0000000,189000.0000000,175000.0000000,177150.0000000,107947
20070302,000000,178500.0000000,181205.0000000,175400.0000000,179305.0000000,89970
20070305,000000,175995.0000000,175995.0000000,167100.0000000,173500.0000000,78250
20070306,000000,175125.0000000,177950.0000000,174015.0000000,176240.0000000,70784
20070307,000000,179300.0000000,179600.0000000,174305.0000000,176650.0000000,57171
20070309,000000,179890.0000000,183550.0000000,178500.0000000,181350.0000000,90973
20070312,000000,180885.0000000,184175.0000000,179725.0000000,181225.0000000,84910
20070313,000000,181750.0000000,183600.0000000,178370.0000000,181750.0000000,83686
20070314,000000,176000.0000000,178500.0000000,173500.0000000,177475.0000000,24926
20070321,000000,182500.0000000,183585.0000000,180855.0000000,182695.0000000,51212
20070322,000000,185005.0000000,188340.0000000,185005.0000000,187800.0000000,62974
20070323,000000,187600.0000000,190800.0000000,186750.0000000,190670.0000000,57088
20070326,000000,192890.0000000,192890.0000000,190590.0000000,191490.0000000,46902
20070327,000000,190400.0000000,192245.0000000,189430.0000000,190020.0000000,49128
20070328,000000,190555.0000000,192480.0000000,189655.0000000,191885.0000000,60450
20070329,000000,192425.0000000,194650.0000000,191500.0000000,194560.0000000,44714
20070330,000000,196000.0000000,196900.0000000,192525.0000000,192950.0000000,70095
20070402,000000,192400.0000000,193200.0000000,191215.0000000,193105.0000000,49129
20070403,000000,194000.0000000,194100.0000000,191250.0000000,191500.0000000,75474
20070404,000000,193010.0000000,193500.0000000,190805.0000000,191410.0000000,61236
20070405,000000,192790.0000000,193300.0000000,191700.0000000,193300.0000000,49628
20070406,000000,193405.0000000,193905.0000000,192775.0000000,193765.0000000,34023
20070409,000000,194105.0000000,197395.0000000,193815.0000000,197005.0000000,62439
20070410,000000,196000.0000000,197995.0000000,194775.0000000,197300.0000000,69678
20070411,000000,197890.0000000,198300.0000000,196715.0000000,196715.0000000,51018
20070412,000000,196385.0000000,196630.0000000,193955.0000000,194165.0000000,70381
20070413,000000,195700.0000000,198200.0000000,195700.0000000,197950.0000000,62405
20070416,000000,199300.0000000,199400.0000000,197195.0000000,198515.0000000,61837
20070417,000000,198010.0000000,198400.0000000,190000.0000000,196300.0000000,66412
20070418,000000,195915.0000000,197445.0000000,193700.0000000,193700.0000000,59153
20070419,000000,192105.0000000,192105.0000000,188285.0000000,188760.0000000,62391
20070420,000000,191590.0000000,194715.0000000,190505.0000000,194395.0000000,54961
20070423,000000,196250.0000000,196555.0000000,194115.0000000,195050.0000000,43794
20070424,000000,195580.0000000,196400.0000000,192400.0000000,194105.0000000,74729
20070425,000000,192970.0000000,197200.0000000,192000.0000000,196925.0000000,67517
20070426,000000,198700.0000000,198800.0000000,194615.0000000,194615.0000000,64895
20070427,000000,194000.0000000,195750.0000000,188700.0000000,188930.0000000,73667
20070428,000000,191200.0000000,192600.0000000,190210.0000000,192000.0000000,18248
20070502,000000,191785.0000000,192500.0000000,189375.0000000,190900.0000000,37699
20070503,000000,191800.0000000,193300.0000000,191500.0000000,192315.0000000,37226
20070504,000000,192625.0000000,193300.0000000,192005.0000000,192750.0000000,29143
20070507,000000,192600.0000000,193545.0000000,191150.0000000,191515.0000000,26729
20070508,000000,191600.0000000,192600.0000000,189610.0000000,189640.0000000,28869
20070510,000000,190190.0000000,192500.0000000,187300.0000000,188000.0000000,58996
20070511,000000,186000.0000000,186750.0000000,183000.0000000,184110.0000000,71732
20070514,000000,186000.0000000,187625.0000000,183320.0000000,186355.0000000,63630
20070515,000000,185900.0000000,186000.0000000,182400.0000000,183065.0000000,68398
20070516,000000,184000.0000000,187200.0000000,183075.0000000,186975.0000000,53911
20070517,000000,187770.0000000,188400.0000000,183215.0000000,183575.0000000,55392
20070518,000000,184500.0000000,187815.0000000,184000.0000000,187610.0000000,60257
20070521,000000,189355.0000000,189995.0000000,186600.0000000,187025.0000000,61786
20070522,000000,187785.0000000,188000.0000000,185050.0000000,185900.0000000,57716
20070523,000000,185405.0000000,185845.0000000,181115.0000000,182000.0000000,77383
20070524,000000,181100.0000000,181100.0000000,176120.0000000,179500.0000000,81022
20070525,000000,178055.0000000,179800.0000000,175100.0000000,178800.0000000,66809
20070528,000000,179695.0000000,180900.0000000,175105.0000000,176300.0000000,71242
20070529,000000,175800.0000000,178195.0000000,171805.0000000,173000.0000000,96903
20070530,000000,170000.0000000,173290.0000000,166015.0000000,172005.0000000,89437
20070531,000000,174100.0000000,178400.0000000,173900.0000000,178400.0000000,77210
20070601,000000,179000.0000000,184890.0000000,176875.0000000,184700.0000000,85981
20070604,000000,184075.0000000,184375.0000000,181150.0000000,183485.0000000,103218
20070605,000000,184000.0000000,185775.0000000,182650.0000000,183025.0000000,88269
20070606,000000,183000.0000000,184900.0000000,180805.0000000,182110.0000000,74087
20070607,000000,183500.0000000,184875.0000000,182000.0000000,182700.0000000,5110
20070608,000000,180015.0000000,183000.0000000,178200.0000000,182985.0000000,10678
20070609,000000,183005.0000000,183005.0000000,181175.0000000,181805.0000000,4433
20070613,000000,180000.0000000,183690.0000000,179750.0000000,183400.0000000,14961
20070614,000000,185000.0000000,190170.0000000,184700.0000000,190005.0000000,56362
20070615,000000,191000.0000000,191700.0000000,188055.0000000,190355.0000000,72416
20070618,000000,192000.0000000,192950.0000000,191175.0000000,191800.0000000,55015
20070619,000000,190755.0000000,193500.0000000,189610.0000000,189625.0000000,77146
20070620,000000,190500.0000000,194395.0000000,190000.0000000,193990.0000000,72720
20070621,000000,192100.0000000,193755.0000000,190800.0000000,190800.0000000,80510
20070622,000000,191500.0000000,192445.0000000,190005.0000000,191320.0000000,73510
20070625,000000,190455.0000000,190695.0000000,189065.0000000,189700.0000000,54676
20070626,000000,190040.0000000,192220.0000000,189200.0000000,192020.0000000,53710
20070627,000000,191000.0000000,191500.0000000,188760.0000000,189810.0000000,58014
20070628,000000,191000.0000000,192300.0000000,190850.0000000,191400.0000000,62764
20070629,000000,192005.0000000,192800.0000000,189990.0000000,192050.0000000,62516
20070702,000000,191720.0000000,194195.0000000,191620.0000000,193700.0000000,50380
